Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,Feb-18,Belfast,RBHSC,Type 1,"2,136.00",997,0,"3,133.00"
2017/18,Feb-18,Belfast,Royal Victoria (RAES),Type 2,"1,111.00",218,0,"1,329.00"
2017/18,Feb-18,Northern,Antrim Area,Type 1,"3,643.00","2,207.00",473,"6,323.00"
2017/18,Feb-18,Northern,Causeway,Type 1,"2,314.00",947,61,"3,322.00"
2017/18,Feb-18,Northern,Mid-Ulster,Type 3,845,0,0,845
2017/18,Feb-18,South Eastern,Ards MIU,Type 3,897,0,0,897
2017/18,Feb-18,South Eastern,Bangor MIU,Type 3,757,0,0,757
2017/18,Feb-18,South Eastern,Downe,Type 2,"1,482.00",165,34,"1,681.00"
2017/18,Feb-18,South Eastern,Lagan Valley,Type 2,"1,500.00",400,26,"1,926.00"
2017/18,Feb-18,South Eastern,Ulster,Type 1,"4,068.00","2,113.00",724,"6,905.00"
2017/18,Feb-18,Southern,Craigavon Area,Type 1,"3,619.00","2,665.00",365,"6,649.00"
2017/18,Feb-18,Southern,Daisy Hill,Type 1,"2,910.00","1,152.00",120,"4,182.00"
2017/18,Feb-18,Southern,South Tyrone,Type 3,"2,426.00",2,0,"2,428.00"
2017/18,Feb-18,Western,Altnagelvin Area,Type 1,"3,183.00","1,572.00",157,"4,912.00"
2017/18,Feb-18,Western,South West Acute,Type 1,"1,605.00",978,33,"2,616.00"
2017/18,Feb-18,Western,Tyrone County,Type 3,"1,176.00",4,0,"1,180.00"
2017/18,Mar-18,Belfast,Mater,Type 1,"2,603.00","1,352.00",255,"4,210.00"
2017/18,Mar-18,Belfast,Royal Victoria,Type 1,"4,124.00","3,609.00",527,"8,260.00"
2017/18,Mar-18,Belfast,RBHSC,Type 1,"2,461.00","1,031.00",0,"3,492.00"
2017/18,Mar-18,Belfast,Royal Victoria (RAES),Type 2,"1,216.00",210,0,"1,426.00"
2017/18,Mar-18,Northern,Antrim Area,Type 1,"4,369.00","2,624.00",365,"7,358.00"
2017/18,Mar-18,Northern,Causeway,Type 1,"2,616.00","1,141.00",198,"3,955.00"
